checkin_info.9-0,checkin_info.9-1,checkin_info.9-2,checkin_info.9-3,checkin_info.9-4,checkin_info.9-5,checkin_info.9-6,checkin_info.20-2,checkin_info.20-3,checkin_info.20-0,checkin_info.20-1,checkin_info.20-6,checkin_info.20-4,checkin_info.20-5,checkin_info.5-4,business_id,checkin_info.12-1,checkin_info.12-0,checkin_info.12-3,checkin_info.12-2,checkin_info.12-5,checkin_info.12-4,checkin_info.12-6,checkin_info.15-6,checkin_info.15-4,checkin_info.15-5,checkin_info.15-2,checkin_info.15-3,checkin_info.15-0,checkin_info.15-1,checkin_info.17-1,checkin_info.22-4,checkin_info.22-5,checkin_info.22-6,checkin_info.22-0,checkin_info.22-1,checkin_info.22-2,checkin_info.22-3,checkin_info.11-2,checkin_info.11-3,checkin_info.11-0,checkin_info.11-1,checkin_info.11-6,checkin_info.11-4,checkin_info.11-5,checkin_info.16-5,checkin_info.16-4,checkin_info.16-6,checkin_info.16-1,checkin_info.16-0,checkin_info.16-3,checkin_info.16-2,checkin_info.1-0,checkin_info.1-1,checkin_info.1-2,checkin_info.1-3,checkin_info.1-4,checkin_info.1-5,checkin_info.1-6,checkin_info.7-3,checkin_info.7-0,checkin_info.7-1,checkin_info.4-1,checkin_info.4-0,checkin_info.4-3,checkin_info.4-2,checkin_info.4-5,checkin_info.4-4,checkin_info.2-5,checkin_info.2-4,checkin_info.3-3,checkin_info.7-4,checkin_info.7-5,checkin_info.19-2,checkin_info.19-3,checkin_info.19-0,checkin_info.19-1,checkin_info.19-6,checkin_info.19-4,checkin_info.19-5,checkin_info.2-3,checkin_info.2-2,checkin_info.2-1,checkin_info.7-2,checkin_info.5-5,checkin_info.5-6,checkin_info.2-0,checkin_info.7-6,checkin_info.5-1,checkin_info.5-2,checkin_info.5-3,checkin_info.3-2,checkin_info.2-6,checkin_info.21-6,checkin_info.21-5,checkin_info.21-4,checkin_info.21-3,checkin_info.21-2,checkin_info.21-1,checkin_info.21-0,checkin_info.8-5,checkin_info.8-4,checkin_info.8-6,type,checkin_info.8-0,checkin_info.8-3,checkin_info.8-2,checkin_info.5-0,checkin_info.17-0,checkin_info.8-1,checkin_info.17-2,checkin_info.17-3,checkin_info.17-4,checkin_info.17-5,checkin_info.17-6,checkin_info.14-3,checkin_info.14-2,checkin_info.14-1,checkin_info.14-0,checkin_info.14-6,checkin_info.14-5,checkin_info.14-4,checkin_info.4-6,checkin_info.13-4,checkin_info.13-5,checkin_info.13-6,checkin_info.13-0,checkin_info.13-1,checkin_info.13-2,checkin_info.13-3,checkin_info.10-6,checkin_info.10-5,checkin_info.10-4,checkin_info.10-3,checkin_info.10-2,checkin_info.10-1,checkin_info.10-0,checkin_info.3-5,checkin_info.23-1,checkin_info.23-0,checkin_info.23-3,checkin_info.23-2,checkin_info.23-5,checkin_info.23-4,checkin_info.23-6,checkin_info.6-5,checkin_info.3-0,checkin_info.0-5,checkin_info.0-4,checkin_info.0-6,checkin_info.0-1,checkin_info.0-0,checkin_info.0-3,checkin_info.0-2,checkin_info.3-6,checkin_info.6-6,checkin_info.3-4,checkin_info.6-4,checkin_info.6-3,checkin_info.6-2,checkin_info.6-1,checkin_info.6-0,checkin_info.3-1,checkin_info.18-6,checkin_info.18-5,checkin_info.18-4,checkin_info.18-3,checkin_info.18-2,checkin_info.18-1,checkin_info.18-0
,,,,,1,,,,,,,,,,x7xS2DJvu8klyNzcpN8QHg,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,3,5,7,5,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,checkin,,,,,3,2,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,,,,,,
,,,,,,,,,,,,,,,KTqNU4plO23583DYAMGXYg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,checkin,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,cgCqxPhadIAlsqnD1MoWuQ,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MKsb2VpLB-0UBODcInDsSw,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,5,,,,,,,,,ShEYKerTwb2LSORE5o_s7A,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,1,,1,1,,3,,,,,,,,,,,1,,1,1,1,checkin,,1,,,,,,,,,,,1,,,,,,,,,,,,,,2,1,2,,,3,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,
,,,,,1,,,,,,1,,,,HaBkx5PwvbBpQ2iNCgHnVQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,checkin,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,
,1,1,1,1,,,,,,,,,,,KW6HejC-67KSL9J8Cz1dSw,2,2,,,1,1,,,,,1,1,,2,,,,,,,,,,2,1,,,1,2,,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,1,,,,2,,,1,1,,,,,,,,2,,,,,,,,,1,1,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
1,,,,,,,,,,,,,,,wl-7A4jC0f27MOEmW-XTbQ,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,1,,,,,,,,,,suQyHycqv8nA7EualcUB3g,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,checkin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
,,,,,1,1,,,,,,1,,,uga5g16PncJOtY7Sc3A05w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,checkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,3,,2,,2,,,,,,1,1,1
,,,,,,,,,1,,,,,,naqkXvhoqljvA7kuo15gEw,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,checkin,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,1,,,,,1,,,,,1,1
,,,,,,,,,1,,,3,6,,xbJ9tdGbcVJIUkNgHSCwZQ,,,,,,,,1,,,,,1,,1,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,4,4,,,,,,,,,,,,,,,3,3,,1,,,,,,checkin,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,1
,,,,,,,,,,,,,1,,koRLvzIl-4fCybOIdk56jA,,,,,,,,,,3,2,,1,1,3,,,,,,,,,,2,,,,,2,,,4,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,,,,,checkin,,,,,,,3,2,1,2,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,2,1,
1,1,1,,,,,,1,1,,,,1,2,ckLRf3lYn9DxmNxd-mu2yA,,1,2,,,1,,,1,,1,2,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,1,1,,,1,,,,1,,,,,,,,,1,3,1,,,,,2,1,,1,,1,,1,checkin,1,1,,,,,,,1,1,2,1,1,1,,,,,,2,,,3,,,,1,1,,1,2,3,,1,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,1,
,,,,,1,,,1,,1,,,1,1,MBQc_jlZ3nlMOZy7SUM_5Q,,,,,,,,,,1,,1,,2,2,,,,,,,,,,,,,,1,,1,,,,2,2,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,1,1,1,,,,,1,2,,,,,,,checkin,,,,1,2,,,,,,,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,1,2,,1,,1,,,,,,,1,
,,,,,,1,,,,,,,,,yuIcDVSy03FQe1RWhicDQw,,,,,1,,,,,,,2,,1,1,,,,,,,,,,,,,,1,1,,,1,,,2,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,checkin,,,,,,,1,,,,,,,,2,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,2,,,,,,,,,X47o6R2rWiqGqvBtC7VS3Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,2,checkin,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,,,,,,,,1,1,,lN-5-YTsaJr_IByyA476iw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,checkin,1,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,1,,,,,,,,1,,,,,,8MqyXoay37xSmlUKjYv1XA,,,,,,,,,1,,,1,,1,,,,,,,,,1,,,,,,1,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,2,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,checkin,1,,,,,,,,,,1,,,1,,1,1,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,
,,,,,,,,,1,,,,,,KFJ1jBfFkRfyn3AoAUl3YQ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,checkin,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
,,,,,,,,,,1,,1,,,G1qUGBNYNS220jKlPAlFsA,,,,,,1,,,2,,,,,,,1,,,,,,,,,,1,,2,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,3,,1,2,1,,,,,,,,,2,,,1,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,
,,,1,,,1,,,,,,,,,oJUAJ6uqMbFYJjtPjanjRg,,,,,,,,1,1,,,1,,,,,,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,1,,,2,1,,,,,,,,,,,1,,,checkin,,,,,1,,3,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,1,2,2,1,,1,6,,6oDZ78JiSKjXVLcurCpnhw,1,1,,,2,1,2,,,,2,1,,1,,3,,,1,,,,,3,1,,1,,2,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,checkin,,,,,1,,1,1,1,,1,,,,,1,,,,,,1,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,2,,2,,1,,1
1,2,,1,,,,,1,,,,,,,kiAsweI4sOjDzGyz3Y_HsQ,,1,,,,,1,1,,3,,,,,1,,,,1,,,,,2,,,,1,1,1,2,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,1,,,,,,,,3,,,,2,1,,,1,,,2,1,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,2,
,,,,,,,,,,,,,,,q8fD82us6uuGufvI44NoAg,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,2
,,,,,,,,,,2,,2,2,,Nj0vQjUYjaa7qbvZlEr2jQ,,,,,,,,,,1,,1,1,,,1,1,,,,,1,,,,,2,,4,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,2,,,,,,,,,,,,,,,3,,,,,,,,,checkin,,,,,,,1,,4,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,4,1,2,1,
,,,1,,,2,,,,,,,,,B0Vuwn6Hugc-0U5n31YBfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,2,checkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,3zD6rxB92Mr0jb-LoYFFWw,,,,,,1,1,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,OC8AUJshLVimn_-P_INvJw,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2pmMehsVKnwhgWPSOxrkjA,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,,,NDAxF0_RCZBQedVO_d5WnA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,1,,,,,eptljN50_4BpIwc2Op_A_A,,,1,,2,1,,,,1,,1,,,,,,,,,,,3,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,,1,,,,,,,,,,,,Xp7OA8gz7zDgB3I54jyb4g,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,checkin,,,,,,,1,,3,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
,,,1,,1,,,,,,,,,,yV-eB-pQVeWE7W-WPC8BUg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,checkin,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,tZbKiggbDGeBpGnOYk0Syw,1,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,checkin,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,MlWXHxdbIODf9GUcvUTfGQ,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,2,,,,1,,,,,O_Pu4mKGOqQVlmH07Zbnhg,,,,,,1,,1,2,,1,1,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,1,,,,,,1,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1
,,,1,1,1,,,,,,,,,,HGzdDbukK8RJEc623kLz5Q,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,checkin,,,,,,,,,,,,,1,,,,,,,,,,1,,,,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,2,1,,1,,,,,,,5FlmcwCLqFveKQ-GVeolig,,2,2,2,,3,4,1,,3,,,3,1,,,,,,,,1,1,,,1,,1,1,2,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,checkin,1,1,,,4,,,,2,3,1,1,2,1,5,1,1,,,,2,5,,,3,1,,1,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,2,,2,2
